8557.3378,2046.0034
8557.2952,2045.9772
8557.2526,2045.9510
8557.2099,2045.9249
8557.1673,2045.8987
8557.1247,2045.8725
8557.0821,2045.8463
8557.0395,2045.8201
8556.9969,2045.7940
8556.9543,2045.7678
8556.9116,2045.7416
8556.8690,2045.7154
8556.8264,2045.6892
8556.7838,2045.6631
8556.7412,2045.6369
8556.6986,2045.6107
8556.6560,2045.5845
8556.6134,2045.5583
8556.5708,2045.5321
8556.5281,2045.5059
8556.4855,2045.4798
8556.4429,2045.4536
8556.4003,2045.4274
8556.3577,2045.4012
8556.3151,2045.3750
8556.2725,2045.3488
8556.2299,2045.3226
8556.1873,2045.2964
8556.1447,2045.2702
8556.1021,2045.2441
8556.0595,2045.2179
8556.0169,2045.1917
8555.9743,2045.1655
8555.9316,2045.1393
8555.8890,2045.1131
8555.8464,2045.0869
8555.8038,2045.0607
8555.7612,2045.0345
8555.7186,2045.0083
8555.6760,2044.9821
8555.6334,2044.9559
8555.5908,2044.9297
8555.5482,2044.9035
8555.5056,2044.8773
8555.4630,2044.8511
8555.4204,2044.8249
8555.3778,2044.7987
8555.3352,2044.7725
8555.2926,2044.7463
8555.2500,2044.7201
8555.2074,2044.6939
8555.1648,2044.6677
8555.1222,2044.6415
8555.0796,2044.6153
8555.0370,2044.5891
8554.9944,2044.5629
8554.9518,2044.5367
8554.9092,2044.5105
8554.8666,2044.4843
8554.8240,2044.4581
8554.7814,2044.4319
8554.7388,2044.4057
8554.6962,2044.3795
8554.6536,2044.3533
8554.6110,2044.3271
8554.5684,2044.3008
8554.5258,2044.2746
8554.4833,2044.2484
8554.4407,2044.2222
8554.3981,2044.1960
8554.3555,2044.1698
8554.3129,2044.1436
8554.2703,2044.1174
8554.2277,2044.0912
8554.1851,2044.0649
8554.1425,2044.0387
8554.0999,2044.0125
8554.0573,2043.9863
8554.0147,2043.9601
8553.9721,2043.9339
8553.9296,2043.9077
8553.8870,2043.8814
8553.8444,2043.8552
8553.8018,2043.8290
8553.7592,2043.8028
8553.7166,2043.7766
8553.6740,2043.7503
8553.6314,2043.7241
8553.5888,2043.6979
8553.5463,2043.6717
8553.5037,2043.6455
8553.4611,2043.6193
8553.4185,2043.5930
8553.3759,2043.5668
8553.3333,2043.5406
8553.2907,2043.5144
8553.2481,2043.4881
8553.2056,2043.4619
8553.1630,2043.4357
8553.1204,2043.4095
8553.0778,2043.3832
8553.0352,2043.3570
8552.9926,2043.3308
8552.9501,2043.3046
8552.9075,2043.2783
8552.8649,2043.2521
8552.8223,2043.2259
8552.7797,2043.1997
