8553.6954,2051.9179
8553.6518,2051.8934
8553.6082,2051.8689
8553.5646,2051.8443
8553.5210,2051.8198
8553.4774,2051.7953
8553.4338,2051.7707
8553.3902,2051.7462
8553.3467,2051.7216
8553.3031,2051.6971
8553.2595,2051.6725
8553.2159,2051.6479
8553.1723,2051.6234
8553.1287,2051.5988
8553.0852,2051.5742
8553.0416,2051.5497
8552.9980,2051.5251
8552.9544,2051.5005
8552.9109,2051.4759
8552.8673,2051.4513
8552.8238,2051.4267
8552.7802,2051.4021
8552.7366,2051.3775
8552.6931,2051.3529
8552.6495,2051.3283
8552.6060,2051.3037
8552.5624,2051.2791
8552.5189,2051.2545
8552.4753,2051.2298
8552.4318,2051.2052
8552.3882,2051.1806
8552.3447,2051.1560
8552.3012,2051.1313
8552.2576,2051.1067
8552.2141,2051.0820
8552.1706,2051.0574
8552.1270,2051.0327
8552.0835,2051.0081
8552.0400,2050.9834
8551.9965,2050.9588
8551.9529,2050.9341
8551.9094,2050.9094
8551.8659,2050.8848
8551.8224,2050.8601
8551.7789,2050.8354
8551.7354,2050.8107
8551.6919,2050.7860
8551.6484,2050.7613
8551.6049,2050.7366
8551.5614,2050.7119
8551.5179,2050.6872
8551.4744,2050.6625
8551.4309,2050.6378
8551.3874,2050.6131
8551.3439,2050.5884
8551.3004,2050.5637
8551.2569,2050.5390
8551.2134,2050.5142
8551.1699,2050.4895
8551.1265,2050.4648
8551.0830,2050.4400
8551.0395,2050.4153
8550.9960,2050.3906
8550.9526,2050.3658
8550.9091,2050.3411
8550.8656,2050.3163
8550.8222,2050.2915
8550.7787,2050.2668
8550.7352,2050.2420
8550.6918,2050.2173
8550.6483,2050.1925
8550.6049,2050.1677
8550.5614,2050.1429
8550.5180,2050.1182
8550.4745,2050.0934
8550.4311,2050.0686
8550.3876,2050.0438
8550.3442,2050.0190
8550.3008,2049.9942
8550.2573,2049.9694
8550.2139,2049.9446
8550.1704,2049.9198
8550.1270,2049.8950
8550.0836,2049.8701
8550.0402,2049.8453
8549.9967,2049.8205
8549.9533,2049.7957
8549.9099,2049.7708
8549.8665,2049.7460
8549.8231,2049.7212
8549.7796,2049.6963
8549.7362,2049.6715
8549.6928,2049.6466
8549.6494,2049.6218
8549.6060,2049.5969
8549.5626,2049.5721
8549.5192,2049.5472
8549.4758,2049.5224
8549.4324,2049.4975
8549.3890,2049.4726
8549.3456,2049.4478
8549.3022,2049.4229
8549.2588,2049.3980
8549.2154,2049.3731
8549.1720,2049.3482
8549.1287,2049.3233
8549.0853,2049.2984
8549.0419,2049.2735
8548.9985,2049.2486
8548.9551,2049.2237
8548.9118,2049.1988
8548.8684,2049.1739
8548.8250,2049.1490
8548.7817,2049.1241
8548.7383,2049.0992
8548.6949,2049.0742
8548.6516,2049.0493
8548.6082,2049.0244
8548.5648,2048.9994
8548.5215,2048.9745
8548.4781,2048.9496
8548.4348,2048.9246
8548.3914,2048.8997
8548.3481,2048.8747
8548.3047,2048.8498
8548.2614,2048.8248
8548.2181,2048.7998
8548.1747,2048.7749
8548.1314,2048.7499
8548.0880,2048.7249
8548.0447,2048.7000
8548.0014,2048.6750
8547.9580,2048.6500
8547.9147,2048.6250
8547.8714,2048.6000
8547.8281,2048.5750
8547.7847,2048.5501
8547.7414,2048.5251
8547.6981,2048.5001
8547.6548,2048.4751
8547.6115,2048.4500
8547.5682,2048.4250
8547.5249,2048.4000
8547.4816,2048.3750
8547.4382,2048.3500
