# x_local, y_local
455339.8298,4443601.5750
455339.8331,4443601.5251
455339.8358,4443601.4752
455339.8380,4443601.4253
455339.8402,4443601.3753
455339.8431,4443601.3254
455339.8467,4443601.2755
455339.8506,4443601.2257
455339.8548,4443601.1759
455339.8592,4443601.1261
455339.8638,4443601.0763
455339.8682,4443601.0265
455339.8721,4443600.9766
455339.8754,4443600.9267
455339.8784,4443600.8769
455339.8812,4443600.8270
455339.8837,4443600.7770
455339.8860,4443600.7271
455339.8882,4443600.6771
455339.8910,4443600.6272
455339.8942,4443600.5773
455339.8976,4443600.5274
455339.9011,4443600.4776
455339.9045,4443600.4277
455339.9070,4443600.3778
455339.9089,4443600.3278
455339.9105,4443600.2779
455339.9121,4443600.2280
455339.9141,4443600.1781
455339.9167,4443600.1282
455339.9204,4443600.0784
455339.9255,4443600.0287
455339.9318,4443599.9791
455339.9388,4443599.9295
455339.9457,4443599.8800
455339.9522,4443599.8304
455339.9573,4443599.7808
455339.9610,4443599.7311
455339.9637,4443599.6813
455339.9655,4443599.6314
455339.9671,4443599.5815
455339.9692,4443599.5316
455339.9716,4443599.4817
455339.9740,4443599.4317
455339.9770,4443599.3818
455339.9806,4443599.3320
455339.9845,4443599.2823
455339.9893,4443599.2326
455339.9950,4443599.1831
455340.0017,4443599.1337
455340.0092,4443599.0843
455340.0173,4443599.0349
455340.0257,4443598.9856
455340.0334,4443598.9362
455340.0410,4443598.8868
455340.0487,4443598.8374
455340.0563,4443598.7881
455340.0641,4443598.7388
